2023-06-20 18:40:39,678 Дата списання: 2023-06-20 18:40:39.678251, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146336.0766666666666666666667
2023-06-20 18:40:39,684 Дата списання: 2023-06-20 18:40:39.684249, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:40:39,697 Дата списання: 2023-06-20 18:40:39.697700, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1061.046666666666666666666667
2023-06-20 18:40:49,716 Дата списання: 2023-06-20 18:40:49.716260, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146330.7466666666666666666667
2023-06-20 18:40:49,724 Дата списання: 2023-06-20 18:40:49.724297, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:40:49,740 Дата списання: 2023-06-20 18:40:49.740371, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1057.716666666666666666666667
2023-06-20 18:40:59,757 Дата списання: 2023-06-20 18:40:59.757997, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146325.4166666666666666666667
2023-06-20 18:40:59,766 Дата списання: 2023-06-20 18:40:59.766033, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:40:59,779 Дата списання: 2023-06-20 18:40:59.779783, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1054.386666666666666666666667
2023-06-20 18:41:09,798 Дата списання: 2023-06-20 18:41:09.798454, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146320.0866666666666666666667
2023-06-20 18:41:09,806 Дата списання: 2023-06-20 18:41:09.805557, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:41:09,819 Дата списання: 2023-06-20 18:41:09.819169, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1051.056666666666666666666667
2023-06-20 18:41:19,837 Дата списання: 2023-06-20 18:41:19.837233, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146314.7566666666666666666667
2023-06-20 18:41:19,846 Дата списання: 2023-06-20 18:41:19.846260, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:41:19,860 Дата списання: 2023-06-20 18:41:19.860367, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1047.726666666666666666666667
2023-06-20 18:41:29,875 Дата списання: 2023-06-20 18:41:29.875802, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146309.4266666666666666666667
2023-06-20 18:41:29,884 Дата списання: 2023-06-20 18:41:29.884294, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:41:29,898 Дата списання: 2023-06-20 18:41:29.898328, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1044.396666666666666666666667
2023-06-20 18:41:39,917 Дата списання: 2023-06-20 18:41:39.917963, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146304.0966666666666666666667
2023-06-20 18:41:39,926 Дата списання: 2023-06-20 18:41:39.926064, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:41:39,940 Дата списання: 2023-06-20 18:41:39.940601, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1041.066666666666666666666667
2023-06-20 18:41:49,961 Дата списання: 2023-06-20 18:41:49.961116, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146298.7666666666666666666667
2023-06-20 18:41:49,969 Дата списання: 2023-06-20 18:41:49.969534, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:41:49,982 Дата списання: 2023-06-20 18:41:49.982476, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1037.736666666666666666666667
2023-06-20 18:42:00,003 Дата списання: 2023-06-20 18:42:00.003805, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146293.4366666666666666666667
2023-06-20 18:42:00,041 Дата списання: 2023-06-20 18:42:00.041835, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:42:00,061 Дата списання: 2023-06-20 18:42:00.061381, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1034.406666666666666666666667
2023-06-20 18:42:10,081 Дата списання: 2023-06-20 18:42:10.081788, Почта клієнта: test@test.test, Сумма списання: 5.333333333333333333333333333, Сумма залишку: 146288.1066666666666666666667
2023-06-20 18:42:10,088 Дата списання: 2023-06-20 18:42:10.088790, Почта клієнта: nikitagawrilenko2212@gmail.com, Сумма списання: 0.00, Сумма залишку: 123123.00
2023-06-20 18:42:10,103 Дата списання: 2023-06-20 18:42:10.103010, Почта клієнта: asfasf@safas.asfaff, Сумма списання: 3.333333333333333333333333333, Сумма залишку: 1031.076666666666666666666667
